date,customer_id,item_id,quantity,selling_price,other_discount,coupon_discount,tID,id
1/2/2012,1501,26830,1,35.26,-10.69,0,18538,1
1/2/2012,1501,54253,1,53.43,-13.89,0,13594,2
1/2/2012,1501,31962,1,106.5,-14.25,0,9692,6
1/2/2012,1501,33647,1,67.32,0,0,16600,7
1/2/2012,1501,48199,1,71.24,-28.14,0,10272,9
1/2/2012,1501,57397,1,71.24,-28.14,0,21243,11
1/2/2012,857,12424,1,106.5,-14.25,0,15818,14
1/2/2012,857,14930,1,110.07,0,0,7282,15
1/2/2012,857,16657,1,89.05,-35.26,0,16283,17
1/2/2012,67,10537,3,32.06,0,0,21641,19
1/2/2012,67,19560,2,106.86,-2.85,0,12588,20
1/2/2012,67,21653,1,44.52,-12.11,0,24939,21
1/2/2012,67,32083,1,8.9,0,0,19178,22
1/2/2012,751,10423,1,81.57,0,0,5309,23
1/2/2012,751,10565,1,71.24,-35.26,0,17671,24
1/2/2012,751,17035,1,127.88,0,0,7035,25
1/2/2012,751,27801,2,71.24,-27.78,0,26329,26
1/2/2012,751,30645,1,127.88,0,0,26679,27
1/2/2012,751,30832,1,213.36,-106.86,0,10260,28
1/2/2012,751,34047,1,53.43,0,0,20812,29
1/2/2012,751,34139,1,35.62,-10.33,0,23133,30
1/2/2012,751,45502,1,82.99,-80.5,0,26994,32
1/2/2012,751,46101,1,135,-14.25,0,9229,33
1/2/2012,751,51615,1,142.12,-35.62,0,17838,34
1/2/2012,679,4408,1,63.76,0,0,28097,35
1/2/2012,679,5454,1,53.07,-17.81,0,22552,39
1/2/2012,679,5797,1,99.38,-7.12,0,3173,42
1/2/2012,679,5865,1,78.36,-15.67,0,6711,43
1/2/2012,679,7200,1,63.76,0,0,4331,45
1/2/2012,679,9198,1,152.81,0,0,20009,46
1/2/2012,679,9532,1,131.08,0,0,13088,48
1/2/2012,679,9802,1,95.82,-10.69,0,20618,51
1/2/2012,679,10046,2,70.53,-14.25,0,8932,52
1/2/2012,679,12065,1,89.05,-24.58,0,25278,54
1/2/2012,679,12456,1,59.49,-11.4,0,23362,55
1/2/2012,679,12706,1,106.5,-7.12,0,13477,56
1/2/2012,679,13174,1,35.26,0,0,28588,58
1/2/2012,679,14609,1,28.85,-2.85,0,12485,61
1/2/2012,679,15351,1,42.39,-42.74,0,15315,62
1/2/2012,679,15882,1,92.26,0,0,12629,63
1/2/2012,679,17045,1,170.62,0,0,25084,65
1/2/2012,679,17234,1,186.65,0,0,25473,66
1/2/2012,679,17562,2,99.02,0,0,16378,69
1/2/2012,679,19522,2,156.02,0,0,4375,71
1/2/2012,679,21598,1,31.7,0,0,1589,72
1/2/2012,679,22274,1,44.52,-47.73,0,1624,74
1/2/2012,679,24270,1,35.26,0,0,11646,75
1/2/2012,679,25123,1,67.32,0,0,14988,77
1/2/2012,679,25312,1,88.69,0,0,5672,79
1/2/2012,679,26066,1,186.65,0,0,19700,80
1/2/2012,679,27186,1,45.24,0,0,6835,82
1/2/2012,679,28289,1,24.22,-7.48,0,8287,83
1/2/2012,679,31235,1,177.74,-35.62,0,10745,84
